Time,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,ref
-4000.0000,-77.4399,-71.1611,-70.9181,-65.5478,46.1159,3.6581,55.7468,46.8543,56.0229,-0.7128,-3.8708,-72.2246,12.1912,-12.2048,54.8459,28.1406,-78.1736,86.1385,13.8707,4.7950
-3992.1875,14.8931,92.1775,-46.5965,-113.1145,36.2361,-55.8476,46.0635,-0.0038,-26.6718,25.8498,-88.3235,25.0929,1.7559,-5.7354,9.1581,18.0526,-20.0416,-63.1217,-67.5153,-5.6424
-3984.3750,71.9205,113.1995,-25.5728,-91.9861,59.0631,-70.6963,-40.9167,-124.1564,-40.6678,-62.8852,-29.0785,83.1049,61.0201,-0.0614,-4.8192,3.6596,70.7950,-4.6828,-114.2068,16.6193
-3976.5625,26.0853,244.3776,111.5997,109.2917,51.0393,-41.5735,-48.7475,-168.1532,-48.5151,-143.4755,73.3222,73.2658,89.4340,-5.9880,-12.6240,-41.5848,96.7754,-83.0877,-158.7502,8.0304
-3968.7500,22.4516,169.7609,105.9662,140.7603,47.2134,-38.8838,-15.3725,-171.9497,-52.1572,-110.8452,141.9155,67.6286,48.0423,-5.2487,-53.2307,-45.6163,56.9490,-189.3099,-90.0929,40.6434
-3960.9375,68.0329,-65.6589,77.5291,151.4334,-52.4245,37.8157,-77.7977,-87.5476,-41.5960,-138.0074,188.7115,40.1880,-15.1527,49.5298,68.3704,75.5595,-2.6816,-105.3330,-43.2364,87.4604
-3953.1250,103.4718,-170.2323,41.9383,45.9757,-86.2252,36.7719,-39.3697,23.7062,-39.1862,9.6873,80.3555,4.6014,-49.5135,77.6699,-3.1793,187.5880,-37.4668,-208.5191,62.4722,89.1310
-3945.3125,14.0576,-84.6628,-13.5062,-43.3272,-103.8852,5.8339,-56.7889,43.1075,-56.6241,139.5464,99.1474,21.1731,-67.7325,48.9902,-93.5839,133.7652,-22.1026,-155.5726,80.3330,70.9549
-3937.5000,37.5452,149.8195,10.9550,-54.7313,-113.6573,-4.1291,-138.3118,70.4036,-138.1664,129.3021,125.8461,45.6507,-78.0508,18.7432,-176.0884,49.8422,-68.8299,-94.7316,70.0971,60.6796
-3929.6875,84.6395,90.9158,-11.9768,-113.5469,-98.8371,-50.7586,-123.2340,50.2911,-123.1086,218.6746,104.1526,60.7319,-63.7711,-14.3641,-159.9962,-7.4725,-92.9512,-116.3183,117.4615,3.0021
