Time,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,ref
-4000.0000,25.6173,6.8474,8.2739,29.4433,-11.1009,9.0600,-31.0553,4.3500,-17.1726,3.9336,7.1226,-32.0643,-15.1275,-5.1017,-21.8850,6.8706,0.8180,0.9911,-48.2412,15.2811
-3992.1875,8.4801,3.5806,-11.0893,9.8130,10.4138,23.2358,22.0494,-18.5382,-6.3226,-17.8664,-3.8504,-54.5767,-33.5991,-65.0073,-40.6115,21.3234,54.2458,-17.9699,4.6712,69.3734
-3984.3750,14.3539,36.1928,-4.4331,14.1444,11.2071,-8.6218,-7.8127,-50.4589,-68.1608,-86.6876,-3.6646,-14.1257,-63.0416,-22.9323,-144.3034,-10.2520,95.6960,56.0394,43.6103,40.4994
-3976.5625,47.7027,-2.8682,66.6920,-62.1055,67.9818,-14.0551,98.7926,-55.9579,-53.9600,-166.0795,55.0948,-93.2530,5.9866,-102.4304,-73.5343,-52.4173,92.6140,-90.5318,75.0326,38.0970
-3968.7500,17.2784,-73.4254,107.0451,-200.1917,147.5782,-123.3235,175.6365,-91.2950,-1.8385,-164.3013,106.7428,-130.2179,157.2488,-137.7766,38.4707,-161.4208,96.7553,-123.9458,150.6791,78.9253
-3960.9375,89.3224,-104.2251,181.8753,-271.8648,166.7581,-162.1854,138.9604,-130.2247,-31.2678,-240.0994,185.8062,-206.7712,267.9900,-250.7024,112.9491,-200.0015,97.3727,-265.9384,150.8100,80.2329
-3953.1250,143.9893,-170.2112,268.3304,-395.9695,293.0592,-335.4851,335.9085,-340.5871,28.0421,-376.3214,259.4615,-343.7563,391.3577,-424.0554,347.0527,-225.9956,153.6061,-460.3766,204.5620,241.1597
-3945.3125,173.7227,-164.1568,257.8604,-475.0656,333.7758,-422.7722,360.9424,-427.9397,17.9967,-463.5085,264.2262,-357.7304,380.8060,-400.3927,372.2395,-349.9521,252.9061,-399.8019,269.3929,341.1710
-3937.5000,242.2829,-124.9372,290.2112,-410.3994,317.2119,-393.2923,319.7928,-435.5161,17.7980,-470.9098,280.0942,-365.9429,339.0808,-444.9522,404.2437,-393.1403,249.0220,-440.4529,265.0564,374.0087
-3929.6875,223.5191,-136.0929,232.2355,-466.1288,325.7215,-455.1920,371.3243,-496.4749,41.9344,-495.6753,241.0749,-354.5442,319.0386,-395.8884,455.9300,-307.7144,300.7993,-426.4949,316.3980,426.5292
