Time,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,ref
-4000.0000,118.3308,-4.7356,114.9449,24.6513,140.8798,-43.4468,28.3531,-72.7861,31.9689,-32.6836,127.3907,47.0652,116.3971,-22.0192,-17.7951,-68.8972,89.2536,-71.4236,-69.3501,-70.5751
-3992.1875,62.8217,-61.3222,93.4240,-75.5974,82.7246,-67.7062,79.4253,-97.6507,-28.1143,-26.2268,105.9364,-85.7069,94.8800,-119.9989,106.6197,-56.7859,-71.6348,81.0193,154.2294,87.6745
-3984.3750,21.8024,-34.4066,49.3982,-37.1386,39.0629,-78.4656,70.0017,-35.0180,-73.7130,-34.8911,61.9775,-21.9749,86.8587,-93.4719,96.5455,-31.1781,-8.0196,-33.0448,39.3070,-29.1472
-3976.5625,117.2421,-46.0373,74.8258,-27.3193,100.8531,-55.7692,94.0297,-12.9359,23.1478,-17.3885,87.4725,-70.7835,76.2957,-70.4941,9.9186,-156.1335,17.0535,59.3357,131.8307,69.9021
-3968.7500,-28.7813,-89.1283,30.7992,-88.6819,21.1835,-65.5276,122.6177,-23.3109,-58.4507,-8.7235,-30.4939,-189.0475,-4.7244,-79.9724,147.8631,-92.5315,-59.3337,86.2768,264.9240,101.0462
-3960.9375,-15.6517,-43.0631,-31.0803,-54.8816,-4.3371,-56.1310,95.3559,95.4669,172.1048,89.4339,-55.3127,-142.1574,-29.5925,-70.3007,119.9537,-84.7811,23.4425,-79.6493,134.1515,-75.5414
-3953.1250,-71.0177,-100.5083,-55.4579,-124.7850,-64.3577,-120.2390,143.5880,67.7459,220.1663,146.8565,-189.6369,-204.7774,-53.9576,-134.1352,241.5501,-38.5302,-67.2853,71.9431,356.8951,77.8200
-3945.3125,-142.3984,-102.9562,-94.8413,-49.5282,-103.3902,-88.3467,103.8260,63.0274,106.2111,88.2078,-154.9783,-97.3991,-56.3235,-64.9670,200.1569,-44.2735,36.9828,-36.4603,282.6407,-30.9078
-3937.5000,33.0738,-106.5499,50.6261,-4.2785,5.4298,-56.5968,62.9155,-16.8386,176.1156,45.0821,26.5316,-101.1578,52.1627,-106.9426,48.6080,-197.1844,141.1108,-5.0245,244.2266,5.0991
-3929.6875,43.1882,-133.4917,60.7370,-65.7924,15.8909,-122.1953,145.6572,-120.0624,36.6539,-21.4745,36.6697,-202.2677,25.2898,-209.2722,204.7162,-227.4419,80.8770,37.0816,357.4877,54.4948
-3921.8750,100.7440,-112.9707,81.2907,3.0840,36.7923,-141.3384,127.8471,-139.8318,166.6371,-34.8284,131.2508,-109.9175,82.8571,-191.1440,186.2698,-319.2536,244.1030,-119.3717,165.1832,-109.0235
-3914.0625,131.5522,-119.1974,110.0943,-61.9903,65.9410,-188.2295,119.2812,-186.3541,156.8773,-22.3366,86.0784,-229.3266,74.6718,-236.7695,250.0727,-293.8186,168.5778,48.4388,299.1357,61.8858
-3906.2500,18.1956,-23.5695,64.7421,3.7064,-16.0768,-163.2736,108.5656,-236.0304,-37.0545,-110.3668,40.7386,-128.8887,29.3278,-139.5459,275.7391,-232.5265,195.8992,-31.8957,182.9402,-21.2356
-3898.4375,103.3950,24.6192,77.9315,44.5554,71.4479,-115.7568,46.3904,-226.1505,47.5710,-108.8334,127.9485,-42.8866,79.5307,-91.7710,139.9437,-258.6940,210.7843,-55.6877,54.2767,-50.8446
-3890.6250,-15.1129,-24.8973,63.4146,-37.0395,20.2555,-131.9418,104.5158,-206.9727,-115.5171,-101.1267,-33.5630,-95.5946,28.0208,-180.6919,234.4587,-129.5525,20.9552,104.8416,178.9385,116.5056
-3882.8125,-34.7856,58.4461,3.7335,34.5849,-2.1047,-48.2621,6.4881,-122.9309,-66.7721,-93.4712,-20.2385,-46.4587,41.3477,-95.7540,134.8267,-119.5586,106.9767,-23.7830,-19.5608,-19.9858
-3875.0000,4.9446,-9.8080,43.4485,-39.7916,37.9279,-47.1799,7.8527,-123.4787,-28.6216,-52.3904,-54.5214,-153.9299,45.0683,-58.4155,136.5853,-83.1666,5.3905,119.0031,87.3469,125.3928
-3867.1875,-119.3497,-64.0680,-50.8532,-47.6554,-56.0599,2.9007,60.2163,-73.0202,-122.4858,-47.3086,-146.8325,-138.4050,-49.2229,27.9193,187.3573,4.2468,-49.2158,96.8029,101.2757,104.1009
-3859.3750,-11.8618,5.4737,-50.3644,42.8924,-18.2531,73.7917,-13.6211,-1.7510,59.4628,-3.4223,-73.3527,-29.0763,-48.7183,27.0623,2.9234,-72.5370,58.9796,27.3911,-3.9997,29.6880
-3851.5625,-69.9831,15.4036,-38.4762,0.8265,-79.0507,47.0870,-39.0541,-67.0847,-39.1937,-15.4671,-171.4927,-91.3620,-108.8171,-36.4003,48.9043,-26.9200,-35.4445,176.4062,181.1480,183.4163
-3843.7500,-102.4731,120.9890,-72.9482,107.6193,-77.2124,82.0394,-75.8383,-31.7606,-76.2183,-78.8032,-170.0007,54.9941,-71.2710,71.7958,-60.4628,-101.6532,71.7748,35.0752,-31.0582,38.5512
-3835.9375,1.6342,83.1780,0.1703,88.3791,-40.7836,116.6044,-77.0378,-34.8269,-77.6367,-83.7672,-132.9220,53.9471,-71.1367,69.6022,-99.2383,-141.7847,0.5925,136.3573,37.3371,144.1944
-3828.1250,-123.6372,61.0060,-94.0781,40.7836,-134.7297,91.8254,-63.5908,-23.2362,-211.4213,-107.7079,-155.2219,30.5475,-129.3720,82.0622,23.6558,-57.2519,-88.9637,148.3107,49.4065,153.9940
-3820.3125,-57.7752,123.9897,-101.1921,77.3476,-104.5416,119.2124,-108.9917,77.5177,-73.0507,-55.7041,-51.3874,23.3126,-62.4638,109.6819,-95.2980,-66.5716,9.6262,35.4041,-99.3885,34.3275
-3812.5000,-112.0301,34.8681,-84.4181,-0.9326,-124.4660,61.5001,-19.4863,17.1776,-167.7789,-43.2848,-108.6767,-71.0268,-82.6665,-21.8001,30.6620,20.0182,-78.9069,189.4174,90.7428,196.0301
-3804.6875,-126.5128,87.5493,-98.8677,72.4998,-175.6183,80.5934,-72.1779,36.6407,-257.7164,-80.5671,-86.1896,59.4337,-97.0874,71.5247,-22.5630,76.4303,11.3483,32.2255,-67.3209,32.7826
-3796.8750,27.6430,64.8783,-47.6815,57.4268,-87.1351,92.3447,-96.2262,47.7673,-133.9878,-28.0916,-72.0589,0.5386,-119.8633,10.5090,-84.1405,50.5021,25.2476,79.6807,-20.7347,82.1352
-3789.0625,-128.3250,13.1042,-100.6107,-20.7876,-176.7719,37.9955,-39.3702,65.7952,-188.3748,4.7601,-198.0512,-53.4633,-172.7530,-7.6136,9.1984,140.4871,-95.9753,95.0583,100.7729,98.7663
-3781.2500,-90.4575,83.1793,-134.7070,59.7338,-136.5805,110.5064,-74.6654,137.6891,-76.9095,18.6016,-122.2067,21.3921,-132.8045,66.1211,-100.6133,104.3266,11.6502,-9.7262,-108.8789,-12.6484
-3773.4375,-88.4982,48.3378,-95.7181,-5.8243,-134.3084,110.1226,-36.8629,100.6945,-113.3387,27.7894,-157.2727,-50.6698,-167.7692,29.9625,-63.3111,139.2816,-126.6456,164.6023,30.5924,166.8279
-3765.6250,-165.7196,109.3410,-176.9018,33.7221,-214.2176,100.5987,-45.2083,126.5622,-157.9275,22.3525,-200.5147,50.1092,-247.9048,129.6611,-109.1403,203.1069,-99.1091,14.7833,-49.0737,10.4574
-3757.8125,-93.4986,109.8013,-139.6498,23.9272,-176.6920,135.5319,-83.1085,160.8897,60.9486,98.2677,-127.3165,14.3414,-173.5992,91.8142,-183.5194,163.3808,-97.1246,49.4103,-49.2982,40.8871
-3750.0000,-214.1478,23.4027,-192.2676,-67.3076,-267.0410,117.6172,-26.8573,142.3721,-67.0310,91.9390,-216.9990,-77.2863,-227.1656,74.1207,-54.7301,254.8254,-253.0160,172.2010,73.6547,167.3455
-3742.1875,-136.9202,63.9035,-186.0084,19.1996,-223.5182,157.6135,-131.7112,218.7685,-62.1152,66.2631,-136.8002,74.9888,-146.8535,150.3354,-160.0328,221.1885,-141.0140,35.8840,-133.4971,24.4023
-3734.3750,-85.6032,42.5021,-132.6630,-19.8913,-169.9142,135.7190,-153.4765,159.2772,-120.0980,51.6602,-157.5143,54.3566,-167.4497,92.6568,-145.2415,234.6606,-230.9279,189.6838,-13.5330,182.6851
-3726.5625,-193.1136,73.2964,-207.1376,15.7198,-207.1352,96.0319,-82.0395,118.9966,-232.9048,-1.2465,-195.0590,124.9112,-204.8642,125.1829,-147.2383,231.3521,-197.6676,149.6949,-18.3547,144.6677
-3718.7500,-104.1886,90.5387,-151.1841,66.2848,-150.9295,112.8085,-100.1599,135.1909,-68.2524,20.9692,-139.1672,179.9123,-148.8413,142.1660,-203.7870,137.4997,-108.9625,166.1510,-107.7323,158.7456
-3710.9375,-186.4911,42.5737,-127.4508,-31.5184,-162.9530,62.3854,-77.4855,84.2010,-228.8078,-12.4881,-262.5060,56.7001,-161.0407,91.9467,-33.5312,195.4755,-262.4868,292.4305,18.7237,291.5169
-3703.1250,-192.6255,103.8160,-169.5458,50.5477,-168.8102,126.1745,-84.6282,111.4314,-125.1671,-11.2732,-194.6721,122.6861,-131.0667,156.9406,-78.0790,149.6761,-127.8187,107.9034,-165.6202,100.1504
-3695.3125,-122.8204,67.0073,-133.7089,24.4783,-132.7409,87.9248,-85.8278,72.6272,-53.5618,27.9660,-157.9207,84.6114,-131.1632,81.8930,-115.6817,146.8431,-128.2167,211.3376,-27.0035,205.7991
-3687.5000,-245.1997,48.0466,-186.0493,30.5220,-184.8543,106.5314,-65.1658,53.6838,-180.1161,8.2742,-284.3572,105.3784,-146.4353,100.6989,-59.4132,239.8797,-145.7971,191.6356,-11.5199,187.5042
-3679.6875,-97.0021,89.6918,-140.8170,72.3561,-139.3966,149.7487,-57.9073,59.3596,9.9400,28.9130,-166.2122,75.7529,-101.1253,107.1127,-126.5423,134.5249,-32.7874,126.5334,-145.4447,118.9355
-3671.8750,-129.9337,55.2334,-138.7106,-2.4891,-174.0704,75.8823,-19.7546,-14.0512,-62.1033,2.4839,-200.1999,4.0248,-98.9398,34.4400,21.2326,134.0805,-135.9125,232.3621,-5.4469,227.5776
-3664.0625,-149.2956,105.3930,-158.0311,71.7193,-193.1763,128.6319,-40.0121,37.1512,-45.5659,-16.9684,-109.6169,130.9054,-118.1755,123.3806,-35.4010,112.2502,-50.4511,0.7955,-202.8566,-10.4755
-3656.2500,-59.1214,87.1115,-101.8193,22.4798,-136.7555,108.9454,-95.7325,53.9224,44.5270,18.5560,-17.5004,75.3346,-98.8812,140.8783,-54.4994,91.9740,-101.4516,51.7927,-149.7186,38.3493
-3648.4375,-179.5313,36.2764,-153.1884,-6.4667,-187.9253,92.7177,-74.0094,73.1612,-116.9413,15.4284,-141.9752,60.1990,-150.1701,161.8319,2.8629,223.1779,-151.0307,70.2636,-96.1046,59.8735
-3640.6250,-65.7096,77.7036,-145.3339,73.4060,-179.8770,172.7539,-141.0456,152.6731,35.8382,67.7813,-97.2248,104.3155,-142.2338,168.0505,-100.5362,191.6402,-3.3612,-64.0165,-196.2580,-79.0861
-3632.8125,-127.5558,15.4829,-136.1474,-39.3162,-206.5025,69.1470,-58.7445,159.5434,-28.0416,112.1791,-162.1488,-33.2311,-169.9679,64.6231,-55.5847,271.4656,-134.3649,83.0791,22.9588,75.4133
-3625.0000,-166.6848,45.0143,-212.2328,-12.5699,-245.4097,102.3008,-61.7024,192.1761,-32.1925,105.0259,-127.3512,72.9667,-171.9767,134.9497,-58.8751,304.0580,-138.6348,-98.0680,-89.0652,-114.1142
-3617.1875,-76.9198,-41.5550,-156.4358,-40.2078,-190.4402,82.3664,-80.7763,208.7299,132.5636,160.5100,-35.6694,54.0637,-116.1017,78.1811,-41.2798,246.5606,-120.0086,-46.3106,-37.1903,-63.2743
-3609.3750,-213.3259,-73.2789,-223.8063,-71.3761,-293.6480,50.2818,33.9950,176.1395,-9.8468,129.6078,-139.1652,22.9980,-183.4009,46.2634,110.1740,287.9353,-185.5590,26.3159,70.5557,15.0342
