Time,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,ref
-4000.0000,622.5496,619.1470,54.5722,80.0010,-433.2358,-101.6115,-105.8346,-101.4789,-118.3649,-108.0398,33.4403,161.6439,-91.8804,-20.5670,-50.5118,-51.0834,42.1986,-82.7623,-147.2316,-132.2342
-3992.1875,679.0938,430.2921,109.7072,-12.9356,-349.3165,-200.6248,-16.9130,-269.0059,-65.1940,-238.1323,235.7630,59.5121,72.8507,-39.7246,77.0753,-180.8741,89.3536,-107.1486,-67.8559,-263.7460
-3984.3750,604.4529,567.2460,125.6456,-25.0837,-305.6013,-138.5667,-3.1767,-107.7285,-51.2182,-186.3956,67.8910,142.9137,13.3953,48.9225,19.4719,-55.8577,-170.7291,-156.7558,-118.6904,-103.4719
-3976.5625,287.4857,462.8962,-32.7397,-68.5392,-361.2151,-103.4831,-126.7677,-156.7270,9.4633,-161.9251,130.7045,104.2343,74.6497,74.2898,44.5777,-68.1184,65.8809,43.3470,-60.8295,-80.4840
-3968.7500,259.2608,223.2929,40.6108,-71.2597,-186.0917,-140.0016,55.3932,-121.9916,80.9065,-16.6881,131.2824,13.6027,109.6823,0.4137,80.4641,-68.6389,-183.7591,-31.8079,-67.2151,-156.7684
-3960.9375,-116.6726,23.9928,-113.7445,3.3174,-237.6702,66.8419,-101.1425,127.0674,35.6550,122.8861,-59.8558,19.7311,101.0130,66.8372,-0.3492,107.1511,-181.1379,145.3354,-32.3094,54.2570
-3953.1250,-293.0388,-116.7139,-154.5277,-76.5151,-139.6662,-33.9523,39.9036,-62.2713,103.0106,8.0759,83.6143,-67.3800,243.9627,26.8691,179.4507,29.5373,20.1007,63.1003,96.2003,-99.1171
-3945.3125,-287.4631,-215.4827,-17.3597,-79.4102,26.2986,-2.4918,174.9150,36.3404,128.3296,70.2412,-35.9593,-65.9616,158.8882,52.8496,132.2157,91.8795,-194.7480,-83.1915,89.6545,35.4424
-3937.5000,-574.0788,-361.4170,-146.3691,-92.4648,-37.9022,97.1611,5.7520,52.8401,107.5033,50.3003,18.2982,-76.5814,174.6765,143.7043,185.8364,35.1000,37.2267,147.3753,142.9576,123.8695
-3929.6875,-516.0252,-337.6674,-53.7024,-78.8384,83.5955,15.9262,97.2841,-2.9602,125.3937,142.0803,38.2639,-87.4791,193.1898,90.2678,205.1821,17.0179,-160.0971,89.6458,47.9699,-6.0199
-3921.8750,-718.6945,-363.6337,-136.7415,27.0832,-8.5990,211.8206,-24.8777,242.5617,2.5964,241.2034,-192.4872,2.0892,71.0079,226.1349,120.8399,226.2553,-231.1647,157.2124,9.2731,201.3967
-3914.0625,-812.0141,-491.2250,-166.4084,-4.6066,27.5986,167.9345,16.3412,28.4959,-28.7908,27.7404,-0.8386,-30.6045,188.2437,270.4221,164.9110,49.8980,87.1771,158.2029,149.9764,96.2252
-3906.2500,-680.8570,-571.3367,-3.5782,12.1921,218.3115,149.5425,214.0737,79.9284,22.3301,115.8081,-58.6770,-61.4557,129.0030,176.2154,33.4967,65.0361,-143.0086,102.6883,93.1772,109.5368
-3898.4375,-822.9500,-641.6737,-202.9740,37.7842,121.8237,241.6502,13.5937,173.2028,41.2560,136.7344,-72.7414,-85.3489,186.5633,160.8190,16.8777,85.0089,21.5760,265.9852,149.1738,201.6672
-3890.6250,-711.1500,-634.0852,-272.4409,-34.6879,190.2922,94.4237,161.0562,64.4279,154.1423,176.6320,40.1501,-166.1123,262.1029,53.3837,168.2242,50.9327,-50.8821,121.2441,144.1279,55.7412
-3882.8125,-766.5833,-653.7236,-423.1132,-27.3744,179.5853,212.0735,119.3275,280.4693,148.8354,319.3668,-182.1722,-135.1815,110.4643,123.7673,164.3858,194.6731,-149.5845,126.2971,147.8760,270.6210
-3875.0000,-885.8770,-702.2053,-516.6130,-49.8778,152.0835,194.6304,59.7820,149.7285,200.7367,151.3203,-19.2996,-154.9678,164.0454,141.3631,254.7677,26.6276,142.9182,207.5719,297.8308,174.7162
