Train,Valid,Test
0.432,0.486,0.437
0.427,0.481,0.436
0.435,0.491,0.439
0.466,0.531,0.461
0.485,0.524,0.480
0.506,0.544,0.516
0.521,0.546,0.503
0.549,0.499,0.515
0.532,0.481,0.527
0.544,0.546,0.538
0.538,0.516,0.541
0.554,0.504,0.547
0.553,0.494,0.548
0.556,0.529,0.554
0.562,0.544,0.555
0.564,0.499,0.558
0.566,0.501,0.555
0.572,0.541,0.561
0.571,0.526,0.557
0.554,0.514,0.562
0.562,0.499,0.556
0.561,0.521,0.559
0.570,0.514,0.566
0.572,0.516,0.558
0.571,0.514,0.570
0.577,0.526,0.569
0.578,0.539,0.570
0.573,0.546,0.572
0.586,0.544,0.573
0.583,0.524,0.575
0.583,0.509,0.579
0.592,0.551,0.583
0.592,0.546,0.591
0.596,0.539,0.590
0.604,0.559,0.596
0.617,0.561,0.602
0.612,0.569,0.605
0.623,0.566,0.611
0.632,0.596,0.628
0.626,0.612,0.627
0.644,0.609,0.642
0.649,0.644,0.645
0.652,0.627,0.659
0.660,0.629,0.663
0.664,0.667,0.666
0.664,0.654,0.671
0.678,0.687,0.675
0.676,0.649,0.683
0.689,0.652,0.682
0.685,0.652,0.686
0.681,0.734,0.693
0.695,0.729,0.696
0.697,0.702,0.701
0.701,0.709,0.696
0.697,0.677,0.691
0.703,0.704,0.704
0.703,0.729,0.715
0.708,0.729,0.703
0.710,0.752,0.720
0.710,0.707,0.712
0.709,0.712,0.711
0.720,0.719,0.720
0.714,0.724,0.720
0.726,0.704,0.718
0.725,0.742,0.717
0.729,0.732,0.725
0.728,0.729,0.720
0.728,0.739,0.719
0.726,0.722,0.727
0.724,0.767,0.735
0.731,0.727,0.726
0.734,0.729,0.729
0.735,0.739,0.740
0.734,0.737,0.733
0.741,0.734,0.733
0.736,0.744,0.735
0.734,0.757,0.737
0.739,0.747,0.734
0.741,0.744,0.744
0.744,0.742,0.737
0.738,0.752,0.736
0.741,0.774,0.745
0.734,0.742,0.744
0.743,0.744,0.743
0.748,0.747,0.754
0.745,0.739,0.745
0.750,0.764,0.753
0.746,0.767,0.745
0.740,0.754,0.741
0.748,0.764,0.744
0.739,0.749,0.750
0.748,0.757,0.745
0.741,0.734,0.745
0.746,0.767,0.753
0.748,0.752,0.745
0.752,0.764,0.753
0.752,0.777,0.746
0.750,0.772,0.747
0.749,0.767,0.750
0.743,0.764,0.753
0.754,0.757,0.754
0.760,0.764,0.754
0.754,0.747,0.755
0.752,0.749,0.754
0.756,0.747,0.760
0.755,0.757,0.750
0.755,0.749,0.758
0.753,0.737,0.753
0.756,0.749,0.757
0.755,0.732,0.752
0.761,0.757,0.757
0.758,0.772,0.757
0.759,0.747,0.758
0.761,0.744,0.753
0.753,0.759,0.761
0.761,0.752,0.757
0.762,0.752,0.759
0.760,0.762,0.757
0.752,0.742,0.762
0.758,0.747,0.763
0.759,0.752,0.756
0.755,0.769,0.760
0.757,0.762,0.759
0.760,0.749,0.760
0.754,0.757,0.763
0.761,0.747,0.760
0.760,0.749,0.755
0.758,0.759,0.762
0.758,0.752,0.765
0.763,0.762,0.765
0.757,0.757,0.763
0.760,0.769,0.764
0.765,0.754,0.765
0.759,0.772,0.764
0.762,0.764,0.761
0.763,0.754,0.764
0.761,0.749,0.763
0.763,0.754,0.764
0.760,0.767,0.761
0.761,0.759,0.762
0.762,0.767,0.762
0.764,0.759,0.763
0.764,0.749,0.764
0.766,0.749,0.764
0.763,0.757,0.764
0.767,0.764,0.762
0.768,0.754,0.765
0.763,0.752,0.763
0.761,0.749,0.766
0.766,0.774,0.764
0.763,0.797,0.770
0.758,0.774,0.767
0.763,0.792,0.762
0.760,0.792,0.765
0.760,0.789,0.764
0.758,0.789,0.765
0.764,0.799,0.763
0.760,0.794,0.761
0.761,0.784,0.770
0.768,0.784,0.770
0.765,0.802,0.766
0.764,0.792,0.765
0.764,0.794,0.770
0.763,0.805,0.766
0.760,0.779,0.766
0.765,0.799,0.770
0.769,0.789,0.768
0.764,0.787,0.766
0.764,0.789,0.764
0.768,0.787,0.765
0.769,0.789,0.764
0.767,0.797,0.769
0.766,0.782,0.765
0.764,0.782,0.770
0.767,0.792,0.769
0.767,0.787,0.763
0.766,0.782,0.771
0.764,0.794,0.768
0.763,0.792,0.768
0.767,0.797,0.772
0.769,0.789,0.767
0.764,0.792,0.767
0.768,0.789,0.769
0.772,0.802,0.771
0.770,0.797,0.771
0.765,0.792,0.771
0.768,0.787,0.768
0.770,0.782,0.771
0.770,0.797,0.774
0.767,0.787,0.771
0.772,0.792,0.768
0.773,0.799,0.771
0.764,0.799,0.772
0.772,0.787,0.774
0.767,0.774,0.771
0.771,0.784,0.773
0.770,0.792,0.772
0.768,0.789,0.775
0.769,0.799,0.770
0.768,0.812,0.770
0.768,0.787,0.774
0.776,0.779,0.775
0.774,0.774,0.772
0.777,0.784,0.772
0.770,0.769,0.775
0.770,0.784,0.780
0.772,0.787,0.777
0.774,0.777,0.774
0.775,0.789,0.777
0.773,0.792,0.776
0.775,0.784,0.776
0.773,0.782,0.772
0.776,0.782,0.780
0.778,0.782,0.780
0.773,0.797,0.776
0.777,0.772,0.776
0.774,0.787,0.775
0.773,0.782,0.772
0.770,0.792,0.773
0.781,0.797,0.778
0.773,0.774,0.782
0.776,0.777,0.778
0.775,0.799,0.780
0.776,0.789,0.780
0.774,0.784,0.779
0.775,0.777,0.782
0.777,0.787,0.778
0.777,0.784,0.776
0.778,0.777,0.781
0.779,0.792,0.777
0.774,0.774,0.779
0.784,0.782,0.779
0.775,0.782,0.780
0.775,0.772,0.781
0.777,0.789,0.778
0.778,0.794,0.776
0.780,0.784,0.776
0.778,0.782,0.782
0.780,0.784,0.781
0.780,0.787,0.779
0.780,0.784,0.782
0.778,0.789,0.782
0.779,0.782,0.778
0.779,0.784,0.779
0.783,0.782,0.782
0.783,0.784,0.779
0.781,0.789,0.783
0.784,0.787,0.777
0.780,0.787,0.786
0.777,0.779,0.781
0.783,0.779,0.780
0.783,0.772,0.783
0.782,0.767,0.786
0.782,0.777,0.787
0.785,0.779,0.780
0.789,0.769,0.781
0.782,0.779,0.784
0.789,0.769,0.783
0.785,0.792,0.784
0.786,0.772,0.779
0.788,0.774,0.783
0.786,0.774,0.788
0.785,0.792,0.784
0.784,0.782,0.783
0.786,0.779,0.783
0.782,0.777,0.784
0.787,0.782,0.781
0.790,0.779,0.788
0.787,0.777,0.785
0.785,0.782,0.784
0.787,0.769,0.785
0.789,0.779,0.784
0.784,0.787,0.786
0.790,0.784,0.784
0.788,0.769,0.787
0.786,0.774,0.788
0.789,0.774,0.790
0.786,0.782,0.789
0.790,0.772,0.786
0.787,0.779,0.790
0.787,0.784,0.788
0.788,0.784,0.785
0.788,0.779,0.785
0.786,0.774,0.786
0.787,0.784,0.790
0.790,0.774,0.789
0.791,0.779,0.789
0.789,0.772,0.789
0.792,0.787,0.785
0.791,0.779,0.789
0.790,0.779,0.787
0.790,0.787,0.788
0.792,0.787,0.790
0.791,0.782,0.790
0.791,0.784,0.792
0.790,0.774,0.786
0.792,0.779,0.789
0.792,0.779,0.789
0.787,0.792,0.790
0.794,0.769,0.789
0.797,0.757,0.786
0.793,0.767,0.786
0.793,0.749,0.788
0.798,0.757,0.796
0.796,0.762,0.793
0.796,0.762,0.792
0.794,0.749,0.796
0.795,0.757,0.792
0.798,0.754,0.792
0.794,0.752,0.790
0.796,0.759,0.792
0.795,0.764,0.792
0.791,0.757,0.793
0.792,0.759,0.789
0.795,0.757,0.794
0.795,0.752,0.791
0.796,0.762,0.795
0.798,0.759,0.796
0.796,0.767,0.794
0.795,0.754,0.794
0.800,0.762,0.791
0.797,0.757,0.793
0.797,0.752,0.792
0.797,0.757,0.795
0.794,0.764,0.792
0.800,0.757,0.792
0.796,0.759,0.791
0.798,0.754,0.789
0.793,0.764,0.796
0.795,0.749,0.791
0.795,0.752,0.795
0.793,0.759,0.796
0.796,0.752,0.794
0.794,0.744,0.792
0.798,0.749,0.797
0.798,0.754,0.797
0.796,0.754,0.795
0.799,0.749,0.799
0.801,0.759,0.794
0.799,0.752,0.792
0.800,0.762,0.795
0.801,0.754,0.794
0.799,0.767,0.796
0.800,0.764,0.797
0.800,0.759,0.795
0.800,0.757,0.798
0.803,0.754,0.793
0.799,0.757,0.797
0.798,0.764,0.796
