Train,Valid,Test
0.435,0.399,0.431
0.433,0.389,0.428
0.443,0.392,0.430
0.439,0.394,0.439
0.448,0.405,0.439
0.452,0.437,0.454
0.463,0.430,0.468
0.484,0.422,0.471
0.489,0.475,0.477
0.496,0.472,0.487
0.497,0.470,0.497
0.487,0.497,0.504
0.492,0.472,0.509
0.505,0.543,0.515
0.513,0.513,0.509
0.517,0.480,0.523
0.520,0.505,0.507
0.515,0.500,0.519
0.501,0.467,0.513
0.512,0.553,0.511
0.510,0.523,0.514
0.533,0.580,0.529
0.523,0.548,0.526
0.538,0.545,0.529
0.531,0.548,0.533
0.526,0.565,0.541
0.541,0.560,0.533
0.536,0.550,0.537
0.538,0.583,0.561
0.541,0.558,0.554
0.533,0.535,0.549
0.555,0.560,0.545
0.545,0.518,0.554
0.553,0.558,0.546
0.535,0.601,0.554
0.558,0.530,0.554
0.552,0.555,0.551
0.556,0.606,0.559
0.556,0.570,0.560
0.568,0.553,0.565
0.574,0.565,0.565
0.546,0.538,0.559
0.567,0.563,0.570
0.557,0.575,0.557
0.549,0.573,0.561
0.571,0.595,0.557
0.553,0.575,0.564
0.551,0.595,0.571
0.566,0.590,0.579
0.569,0.595,0.561
