Train,Valid,Test
0.527,0.541,0.531
0.554,0.576,0.553
0.586,0.622,0.593
0.588,0.602,0.588
0.591,0.612,0.599
0.573,0.591,0.576
0.610,0.622,0.614
0.668,0.682,0.668
0.700,0.687,0.701
0.714,0.744,0.717
0.699,0.722,0.701
0.703,0.707,0.699
0.725,0.732,0.726
0.744,0.754,0.742
0.735,0.752,0.737
0.751,0.767,0.745
0.753,0.759,0.751
0.756,0.754,0.755
0.741,0.749,0.741
0.752,0.762,0.755
0.749,0.757,0.755
0.764,0.769,0.762
0.760,0.774,0.758
0.761,0.769,0.763
0.751,0.754,0.752
0.755,0.759,0.761
0.757,0.762,0.764
0.767,0.777,0.769
0.774,0.777,0.773
0.779,0.784,0.776
0.775,0.782,0.779
0.785,0.794,0.790
0.796,0.779,0.801
0.799,0.797,0.803
0.798,0.787,0.802
0.802,0.802,0.805
0.804,0.792,0.809
0.814,0.784,0.816
0.810,0.802,0.813
0.795,0.807,0.800
0.825,0.822,0.826
0.818,0.815,0.818
0.826,0.817,0.826
0.824,0.827,0.822
0.766,0.772,0.768
0.843,0.825,0.836
0.836,0.822,0.843
0.838,0.815,0.838
0.843,0.810,0.843
0.846,0.830,0.850
0.842,0.840,0.843
0.853,0.850,0.853
0.848,0.855,0.848
0.861,0.857,0.862
0.858,0.855,0.851
0.856,0.847,0.855
0.870,0.875,0.870
0.854,0.852,0.856
0.857,0.855,0.860
0.862,0.865,0.866
0.865,0.855,0.859
0.868,0.877,0.865
0.873,0.865,0.873
0.882,0.865,0.879
0.886,0.872,0.881
0.880,0.862,0.876
0.869,0.877,0.870
0.879,0.875,0.878
0.885,0.880,0.882
0.886,0.872,0.888
0.882,0.855,0.876
0.891,0.880,0.886
0.894,0.885,0.891
0.894,0.890,0.891
0.892,0.882,0.891
0.895,0.895,0.892
0.890,0.882,0.889
0.892,0.890,0.893
0.902,0.897,0.899
0.899,0.900,0.902
0.900,0.895,0.901
0.900,0.895,0.898
0.899,0.882,0.896
0.896,0.885,0.902
0.901,0.900,0.903
0.911,0.900,0.904
0.905,0.912,0.906
0.906,0.902,0.906
0.904,0.900,0.902
0.906,0.907,0.908
0.909,0.912,0.911
0.905,0.907,0.902
0.908,0.900,0.906
0.901,0.882,0.900
0.908,0.902,0.908
0.912,0.907,0.915
0.908,0.890,0.907
0.910,0.902,0.906
0.915,0.907,0.916
0.914,0.910,0.914
0.917,0.900,0.913
0.918,0.890,0.913
0.917,0.907,0.916
0.918,0.887,0.916
0.919,0.905,0.918
0.916,0.895,0.916
0.919,0.902,0.919
0.914,0.895,0.915
0.917,0.892,0.911
0.923,0.895,0.916
0.924,0.890,0.918
0.924,0.902,0.919
0.918,0.887,0.914
0.916,0.882,0.914
0.919,0.912,0.918
0.921,0.897,0.918
0.924,0.890,0.920
0.919,0.900,0.915
0.925,0.907,0.921
0.909,0.875,0.904
0.928,0.897,0.923
0.924,0.892,0.924
0.928,0.902,0.924
0.926,0.900,0.923
0.925,0.900,0.924
0.917,0.882,0.914
0.927,0.905,0.926
0.928,0.902,0.927
0.913,0.887,0.911
0.928,0.897,0.925
0.924,0.897,0.920
0.918,0.890,0.914
0.924,0.897,0.926
0.928,0.897,0.928
0.926,0.897,0.924
0.928,0.905,0.927
0.921,0.895,0.919
0.921,0.892,0.918
0.932,0.912,0.926
0.931,0.912,0.927
0.925,0.890,0.919
0.934,0.905,0.927
0.923,0.895,0.919
0.931,0.897,0.929
0.933,0.905,0.929
0.931,0.902,0.928
0.935,0.910,0.931
0.933,0.905,0.930
0.928,0.895,0.925
0.930,0.900,0.923
0.929,0.917,0.928
0.932,0.932,0.931
0.925,0.922,0.926
0.935,0.925,0.934
0.929,0.910,0.930
0.917,0.912,0.916
0.925,0.910,0.927
0.928,0.922,0.931
0.933,0.925,0.934
0.932,0.920,0.931
0.933,0.917,0.936
0.927,0.915,0.925
0.917,0.920,0.921
0.934,0.917,0.935
0.936,0.910,0.935
0.935,0.922,0.934
0.938,0.917,0.932
0.942,0.920,0.938
0.934,0.915,0.931
0.939,0.925,0.937
0.935,0.915,0.933
0.931,0.912,0.934
0.941,0.920,0.940
0.936,0.917,0.933
0.938,0.917,0.935
0.940,0.910,0.941
0.942,0.917,0.937
0.935,0.915,0.932
0.942,0.920,0.939
0.937,0.910,0.934
0.940,0.927,0.936
0.939,0.925,0.939
0.943,0.915,0.941
0.924,0.900,0.921
0.938,0.917,0.932
0.943,0.920,0.939
0.941,0.920,0.935
0.943,0.932,0.942
0.943,0.925,0.939
0.942,0.907,0.941
0.944,0.915,0.942
0.945,0.910,0.940
0.926,0.900,0.923
0.944,0.905,0.937
0.944,0.917,0.943
0.939,0.922,0.937
0.947,0.910,0.943
0.926,0.902,0.927
0.939,0.905,0.934
0.942,0.912,0.940
0.940,0.967,0.943
0.941,0.962,0.946
0.926,0.950,0.932
0.948,0.952,0.948
0.936,0.950,0.936
0.948,0.962,0.947
0.919,0.952,0.922
0.936,0.952,0.938
0.946,0.960,0.946
0.935,0.957,0.940
0.941,0.950,0.943
0.946,0.952,0.949
0.940,0.960,0.939
0.942,0.965,0.944
0.924,0.947,0.926
0.943,0.957,0.947
0.937,0.957,0.940
0.945,0.960,0.945
0.948,0.942,0.949
0.948,0.950,0.952
0.946,0.957,0.947
0.948,0.957,0.950
0.952,0.962,0.953
0.944,0.955,0.945
0.929,0.952,0.930
0.952,0.965,0.953
0.938,0.957,0.943
0.951,0.960,0.952
0.954,0.955,0.954
0.936,0.955,0.936
0.953,0.957,0.953
0.947,0.957,0.946
0.950,0.965,0.955
0.932,0.952,0.933
0.942,0.952,0.944
0.952,0.957,0.952
0.941,0.947,0.943
0.942,0.962,0.944
0.941,0.962,0.942
0.926,0.947,0.929
0.941,0.950,0.946
0.953,0.952,0.954
0.927,0.945,0.926
0.954,0.960,0.955
0.942,0.955,0.947
0.940,0.957,0.940
0.926,0.935,0.927
0.952,0.952,0.956
0.947,0.955,0.945
0.957,0.957,0.953
0.945,0.957,0.949
0.945,0.952,0.947
0.953,0.960,0.951
0.931,0.942,0.930
0.958,0.960,0.953
0.935,0.940,0.933
0.959,0.962,0.957
0.957,0.965,0.960
0.955,0.962,0.954
0.948,0.955,0.950
0.958,0.962,0.954
0.950,0.952,0.947
0.940,0.947,0.941
0.949,0.952,0.950
0.960,0.957,0.959
0.954,0.965,0.955
0.953,0.952,0.953
0.938,0.935,0.936
0.960,0.957,0.960
0.952,0.955,0.955
0.958,0.955,0.955
0.957,0.962,0.956
0.957,0.960,0.955
0.955,0.955,0.955
0.941,0.942,0.941
0.963,0.952,0.961
0.960,0.955,0.960
0.950,0.940,0.950
0.962,0.955,0.962
0.925,0.927,0.923
0.958,0.957,0.959
0.962,0.957,0.959
0.962,0.955,0.962
0.963,0.955,0.962
0.955,0.947,0.952
0.963,0.965,0.967
0.958,0.955,0.957
0.934,0.940,0.940
0.960,0.955,0.958
0.965,0.947,0.962
0.960,0.962,0.961
0.949,0.950,0.948
0.965,0.955,0.962
0.964,0.952,0.962
0.921,0.922,0.922
0.966,0.950,0.961
0.958,0.950,0.961
0.967,0.955,0.965
0.958,0.942,0.956
0.947,0.947,0.947
0.962,0.947,0.959
0.940,0.927,0.940
0.971,0.962,0.965
0.971,0.945,0.969
0.969,0.945,0.970
0.967,0.957,0.967
0.958,0.945,0.960
0.963,0.942,0.961
0.971,0.955,0.970
0.955,0.940,0.953
0.971,0.950,0.968
0.976,0.942,0.970
0.969,0.952,0.963
0.967,0.945,0.967
0.973,0.945,0.971
0.967,0.935,0.961
0.964,0.940,0.964
0.974,0.945,0.966
0.972,0.950,0.969
0.972,0.942,0.970
0.974,0.950,0.969
0.955,0.942,0.954
0.962,0.942,0.960
0.967,0.945,0.965
0.967,0.945,0.966
0.968,0.930,0.964
0.968,0.945,0.966
0.967,0.945,0.964
0.936,0.910,0.933
0.976,0.932,0.972
0.977,0.940,0.974
0.977,0.935,0.975
0.949,0.925,0.944
0.978,0.945,0.972
0.967,0.937,0.965
0.975,0.950,0.970
0.974,0.930,0.971
0.961,0.932,0.957
0.977,0.950,0.975
0.970,0.945,0.968
0.966,0.940,0.962
0.975,0.947,0.971
0.978,0.935,0.975
0.978,0.940,0.972
0.975,0.940,0.974
0.977,0.935,0.972
0.972,0.947,0.969
0.975,0.935,0.974
0.979,0.950,0.973
0.974,0.940,0.967
0.965,0.957,0.963
0.970,0.985,0.971
0.973,0.970,0.973
0.969,0.972,0.971
0.965,0.950,0.967
0.967,0.975,0.969
0.971,0.960,0.970
0.972,0.970,0.969
0.966,0.955,0.966
0.974,0.975,0.974
0.974,0.975,0.975
0.966,0.957,0.965
0.976,0.967,0.976
0.931,0.930,0.932
0.974,0.967,0.973
0.975,0.977,0.976
0.973,0.970,0.972
0.974,0.962,0.971
0.977,0.970,0.975
0.975,0.970,0.975
0.974,0.960,0.971
0.977,0.952,0.974
0.976,0.952,0.975
0.977,0.977,0.974
0.977,0.967,0.977
0.977,0.967,0.975
0.976,0.965,0.974
0.977,0.957,0.974
0.978,0.962,0.977
0.979,0.952,0.980
0.972,0.952,0.969
0.971,0.955,0.970
0.976,0.965,0.973
0.970,0.952,0.968
0.976,0.965,0.975
0.977,0.960,0.979
0.979,0.970,0.977
0.965,0.960,0.965
0.977,0.970,0.978
0.956,0.940,0.956
0.980,0.955,0.977
0.980,0.972,0.975
0.975,0.957,0.974
0.978,0.965,0.976
0.970,0.952,0.967
0.980,0.965,0.976
0.976,0.960,0.978
0.982,0.972,0.982
0.974,0.965,0.972
0.979,0.970,0.978
0.979,0.987,0.979
0.976,0.985,0.976
0.972,0.985,0.973
0.977,0.982,0.972
0.974,0.977,0.974
0.980,0.990,0.978
0.981,0.990,0.979
0.978,0.982,0.981
0.982,0.985,0.982
0.978,0.982,0.978
0.980,0.977,0.981
0.980,0.990,0.981
0.981,0.975,0.980
0.982,0.972,0.983
0.971,0.975,0.972
0.986,0.970,0.984
0.981,0.975,0.980
0.982,0.972,0.983
0.982,0.967,0.983
0.982,0.977,0.980
0.986,0.962,0.983
0.985,0.972,0.983
0.968,0.977,0.968
0.984,0.975,0.982
0.986,0.975,0.984
0.983,0.967,0.984
0.982,0.972,0.983
0.978,0.972,0.978
0.980,0.972,0.980
0.980,0.977,0.981
0.984,0.972,0.983
0.987,0.975,0.980
0.983,0.965,0.982
0.984,0.957,0.985
0.973,0.975,0.975
0.982,0.967,0.981
0.975,0.982,0.976
0.977,0.967,0.977
0.980,0.977,0.980
0.980,0.970,0.977
0.968,0.975,0.968
0.984,0.965,0.983
0.983,0.967,0.981
0.982,0.970,0.979
0.983,0.970,0.980
0.984,0.962,0.982
0.976,0.970,0.979
0.968,0.952,0.967
0.969,0.970,0.967
0.929,0.940,0.931
0.987,0.982,0.984
0.986,0.977,0.985
0.977,0.977,0.978
0.988,0.980,0.986
0.982,0.985,0.983
0.984,0.977,0.984
0.981,0.977,0.978
0.988,0.975,0.988
0.988,0.975,0.986
0.975,0.967,0.971
0.979,0.970,0.978
0.982,0.957,0.982
0.984,0.975,0.981
0.983,0.972,0.984
0.982,0.970,0.982
0.985,0.977,0.984
0.979,0.972,0.978
0.989,0.975,0.988
0.988,0.980,0.988
0.988,0.980,0.985
0.979,0.977,0.979
0.984,0.972,0.984
0.987,0.957,0.984
0.989,0.970,0.985
0.986,0.972,0.986
0.988,0.977,0.986
0.980,0.962,0.979
0.986,0.972,0.984
0.985,0.977,0.988
0.987,0.975,0.987
0.982,0.955,0.978
0.986,0.965,0.988
0.987,0.977,0.987
0.988,0.970,0.987
0.986,0.965,0.982
0.992,0.965,0.986
0.988,0.972,0.987
0.990,0.965,0.988
0.989,0.975,0.988
0.986,0.975,0.984
0.985,0.962,0.981
0.984,0.962,0.981
0.974,0.955,0.976
0.985,0.965,0.983
0.989,0.965,0.987
0.982,0.972,0.979
0.974,0.960,0.971
0.988,0.967,0.989
0.987,0.960,0.989
0.977,0.955,0.974
