Train,Valid,Test
0.499,0.500,0.537
0.565,0.500,0.545
0.570,0.590,0.595
0.584,0.570,0.570
0.593,0.640,0.579
0.628,0.600,0.554
0.624,0.560,0.612
0.631,0.660,0.570
0.625,0.600,0.636
0.657,0.610,0.612
0.647,0.610,0.562
0.671,0.660,0.570
0.641,0.650,0.636
0.646,0.710,0.719
0.652,0.620,0.620
0.681,0.660,0.669
0.658,0.680,0.661
0.680,0.600,0.636
0.682,0.630,0.603
0.685,0.610,0.678
0.704,0.640,0.653
0.701,0.640,0.669
0.701,0.660,0.661
0.692,0.610,0.653
0.695,0.680,0.645
0.690,0.610,0.678
0.702,0.590,0.669
0.714,0.630,0.653
0.696,0.680,0.678
0.702,0.680,0.686
0.728,0.660,0.645
0.706,0.710,0.653
0.720,0.640,0.678
0.717,0.650,0.702
0.722,0.670,0.678
0.731,0.660,0.686
0.737,0.680,0.678
0.733,0.630,0.661
0.715,0.720,0.711
0.728,0.670,0.678
0.743,0.700,0.686
0.740,0.680,0.702
0.739,0.710,0.653
0.724,0.720,0.719
0.725,0.730,0.727
0.748,0.670,0.694
0.733,0.670,0.719
0.743,0.660,0.653
0.747,0.720,0.744
0.750,0.730,0.711
0.746,0.810,0.736
0.746,0.740,0.727
0.771,0.740,0.752
0.750,0.740,0.694
0.753,0.800,0.719
0.749,0.720,0.769
0.738,0.740,0.727
0.744,0.750,0.752
0.786,0.730,0.777
0.775,0.710,0.744
0.759,0.760,0.785
0.758,0.740,0.752
0.754,0.750,0.711
0.771,0.850,0.736
0.790,0.710,0.769
0.766,0.720,0.785
0.794,0.750,0.785
0.776,0.770,0.802
0.794,0.740,0.769
0.806,0.770,0.777
0.775,0.770,0.769
0.786,0.810,0.744
0.804,0.810,0.760
0.794,0.690,0.802
0.804,0.840,0.760
0.802,0.790,0.736
0.797,0.780,0.810
0.796,0.700,0.744
0.796,0.770,0.802
0.805,0.780,0.769
0.821,0.770,0.802
0.828,0.770,0.793
0.821,0.800,0.777
0.798,0.790,0.777
0.812,0.770,0.793
0.831,0.760,0.802
0.823,0.750,0.826
0.833,0.850,0.785
0.818,0.760,0.802
0.831,0.800,0.785
0.858,0.860,0.818
0.824,0.780,0.826
0.839,0.820,0.818
0.844,0.830,0.802
0.846,0.840,0.843
0.850,0.770,0.802
0.854,0.850,0.760
0.836,0.810,0.843
0.853,0.830,0.818
0.837,0.770,0.793
0.834,0.820,0.793
0.843,0.850,0.810
0.823,0.850,0.818
0.852,0.800,0.744
0.866,0.880,0.818
0.853,0.910,0.843
0.854,0.830,0.835
0.849,0.880,0.851
0.853,0.880,0.843
0.858,0.910,0.785
0.860,0.930,0.826
0.857,0.940,0.860
0.864,0.880,0.793
0.864,0.900,0.868
0.867,0.920,0.826
0.852,0.900,0.835
0.855,0.860,0.843
0.879,0.890,0.851
0.865,0.890,0.860
0.873,0.900,0.868
0.876,0.910,0.826
0.866,0.920,0.835
0.891,0.910,0.835
0.891,0.880,0.826
0.881,0.920,0.835
0.882,0.940,0.835
0.905,0.880,0.851
0.892,0.890,0.818
0.876,0.860,0.868
0.885,0.930,0.818
0.883,0.950,0.851
0.885,0.910,0.876
0.874,0.950,0.843
0.900,0.940,0.868
0.891,0.900,0.868
0.890,0.900,0.843
0.884,0.920,0.901
0.891,0.940,0.851
0.884,0.920,0.860
0.900,0.870,0.835
0.894,0.900,0.884
0.897,0.920,0.818
0.895,0.950,0.884
0.893,0.920,0.860
0.897,0.900,0.884
0.902,0.870,0.901
0.910,0.930,0.851
0.902,0.890,0.860
0.906,0.880,0.868
0.906,0.910,0.860
0.904,0.910,0.860
0.893,0.920,0.876
0.926,0.910,0.893
0.895,0.920,0.884
0.920,0.910,0.818
0.910,0.960,0.860
0.914,0.900,0.884
0.908,0.900,0.909
0.913,0.960,0.893
0.926,0.930,0.884
0.919,0.960,0.893
0.920,0.900,0.876
0.917,0.890,0.860
0.904,0.950,0.860
0.915,0.960,0.876
0.921,0.930,0.901
0.913,0.950,0.876
0.927,0.910,0.876
0.905,0.920,0.917
0.919,0.970,0.868
0.917,0.930,0.893
0.920,0.940,0.884
0.935,0.930,0.884
0.926,0.970,0.876
0.932,0.950,0.876
0.941,0.910,0.901
0.931,0.940,0.868
0.931,0.950,0.843
0.933,0.910,0.876
0.945,0.970,0.884
0.930,0.950,0.893
0.935,0.940,0.893
0.934,0.920,0.868
0.940,0.940,0.917
0.943,0.950,0.917
0.923,0.960,0.893
0.934,0.960,0.884
0.927,0.940,0.884
0.940,0.950,0.893
0.939,0.960,0.901
0.927,0.950,0.917
0.949,0.940,0.884
0.945,0.950,0.884
0.948,0.940,0.901
0.954,0.940,0.868
0.945,0.920,0.926
0.953,0.960,0.893
0.942,0.960,0.884
0.942,0.990,0.868
0.939,0.900,0.893
0.945,0.940,0.876
0.951,0.920,0.893
0.951,0.930,0.901
0.943,0.890,0.926
0.950,0.940,0.901
0.946,0.950,0.876
0.939,0.930,0.884
0.958,0.930,0.901
0.954,0.890,0.893
0.941,0.930,0.876
0.955,0.910,0.893
0.944,0.930,0.917
0.960,0.920,0.876
0.954,0.930,0.893
0.962,0.930,0.884
0.941,0.930,0.917
0.950,0.920,0.909
0.962,0.940,0.884
0.949,0.910,0.868
0.955,0.960,0.893
0.967,0.940,0.868
0.958,0.910,0.893
0.960,0.920,0.884
0.950,0.900,0.884
0.960,0.920,0.876
0.960,0.910,0.917
0.955,0.910,0.934
0.960,0.930,0.884
0.939,0.920,0.901
0.970,0.880,0.893
0.963,0.870,0.884
0.964,0.940,0.901
0.961,0.890,0.917
0.959,0.910,0.917
0.971,0.950,0.901
0.959,0.940,0.884
0.967,0.940,0.909
0.963,0.920,0.893
0.963,0.910,0.917
0.971,0.870,0.884
0.961,0.930,0.926
0.956,0.910,0.917
0.963,0.910,0.893
0.971,0.890,0.909
0.967,0.940,0.950
0.974,0.870,0.926
0.969,0.910,0.868
0.960,0.920,0.926
0.960,0.910,0.926
0.956,0.940,0.884
0.963,0.960,0.942
0.971,0.940,0.884
0.972,0.930,0.901
0.970,0.920,0.909
0.963,0.940,0.909
0.972,0.960,0.909
0.969,0.960,0.901
0.961,0.940,0.909
0.968,0.910,0.893
0.975,0.950,0.917
0.959,0.940,0.917
0.968,0.910,0.893
0.970,0.970,0.909
0.974,0.960,0.901
0.965,0.940,0.876
0.955,0.980,0.967
0.977,0.950,0.909
0.972,0.970,0.901
0.970,0.980,0.909
0.972,0.970,0.942
0.971,0.940,0.926
0.972,0.950,0.909
0.970,0.950,0.909
0.974,0.950,0.926
0.968,0.920,0.917
0.975,0.960,0.901
0.978,0.930,0.926
0.981,0.980,0.901
0.972,0.970,0.917
0.970,0.950,0.934
0.973,0.950,0.926
0.963,0.980,0.934
0.974,0.930,0.917
0.970,0.970,0.917
0.967,0.940,0.901
0.977,0.950,0.917
0.973,0.970,0.901
0.968,0.960,0.909
0.982,0.980,0.901
0.974,0.940,0.926
0.973,0.940,0.934
0.968,0.960,0.934
0.980,0.970,0.917
0.984,0.960,0.884
0.977,0.950,0.909
0.973,0.980,0.942
0.983,0.960,0.942
0.975,0.950,0.909
0.983,0.960,0.934
0.979,0.960,0.917
0.978,0.960,0.909
0.964,0.960,0.909
0.971,0.970,0.926
0.974,0.960,0.909
0.975,0.990,0.901
0.972,0.980,0.901
0.980,0.939,0.926
0.972,0.960,0.917
0.974,0.980,0.917
0.986,0.960,0.901
0.977,0.960,0.901
0.983,0.960,0.909
0.981,0.949,0.909
0.979,0.990,0.893
0.970,0.990,0.884
0.972,0.990,0.909
0.979,0.970,0.917
0.961,0.970,0.909
0.975,0.949,0.934
0.975,0.970,0.926
0.973,0.970,0.901
0.973,0.970,0.917
0.977,0.990,0.926
0.984,0.970,0.926
0.987,0.980,0.917
0.981,0.980,0.942
0.979,0.939,0.926
0.981,0.970,0.917
0.980,0.980,0.909
0.980,0.980,0.942
0.989,0.980,0.917
0.978,0.960,0.909
0.979,0.929,0.917
0.982,0.949,0.926
0.980,0.980,0.909
0.978,0.980,0.926
0.980,0.970,0.901
0.987,0.980,0.934
0.983,0.960,0.917
0.981,0.960,0.917
0.990,0.990,0.934
0.983,0.980,0.926
0.982,0.929,0.926
0.986,0.960,0.934
0.988,1.000,0.950
0.987,0.970,0.950
0.981,0.970,0.917
0.983,0.960,0.917
0.979,0.970,0.926
0.979,0.970,0.934
0.984,0.960,0.926
0.991,0.949,0.942
0.981,0.939,0.934
0.981,0.939,0.909
0.972,0.970,0.901
0.980,0.970,0.926
0.987,0.980,0.917
0.984,0.929,0.942
0.983,0.980,0.950
0.988,0.939,0.942
0.979,0.980,0.950
0.982,0.970,0.942
0.981,0.960,0.926
0.981,0.960,0.917
0.988,0.970,0.901
0.979,0.970,0.934
0.983,0.960,0.893
0.983,0.949,0.950
0.979,0.980,0.942
0.982,0.970,0.917
0.986,0.960,0.942
0.983,0.980,0.959
0.983,0.970,0.917
0.981,0.949,0.950
0.973,1.000,0.934
0.991,0.970,0.917
0.986,0.980,0.917
