Train,Valid,Test
0.538,0.526,0.532
0.556,0.551,0.564
0.565,0.561,0.561
0.566,0.561,0.565
0.577,0.571,0.576
0.583,0.576,0.582
0.579,0.574,0.577
0.654,0.629,0.648
0.684,0.662,0.680
0.668,0.659,0.651
0.704,0.684,0.699
0.721,0.722,0.710
0.733,0.719,0.724
0.712,0.717,0.715
0.735,0.727,0.731
0.741,0.727,0.735
0.739,0.759,0.734
0.736,0.752,0.740
0.728,0.757,0.739
0.746,0.744,0.745
0.746,0.762,0.752
0.758,0.767,0.748
0.753,0.774,0.753
0.743,0.759,0.750
0.749,0.767,0.752
0.756,0.757,0.756
0.766,0.782,0.763
0.766,0.759,0.770
0.770,0.754,0.770
0.766,0.759,0.763
0.762,0.767,0.764
0.771,0.787,0.774
0.771,0.774,0.767
0.773,0.764,0.775
0.759,0.759,0.758
0.779,0.779,0.779
0.769,0.769,0.766
0.778,0.764,0.775
0.761,0.764,0.758
0.780,0.794,0.775
0.783,0.769,0.788
0.774,0.779,0.780
0.764,0.772,0.766
0.789,0.762,0.787
0.784,0.782,0.781
0.792,0.794,0.791
0.794,0.815,0.792
0.780,0.794,0.792
0.789,0.789,0.792
0.801,0.794,0.799
0.791,0.784,0.793
0.788,0.779,0.790
0.807,0.797,0.803
0.795,0.774,0.802
0.802,0.792,0.807
0.814,0.787,0.808
0.809,0.797,0.807
0.792,0.779,0.791
0.820,0.789,0.811
0.813,0.805,0.807
0.812,0.789,0.808
0.812,0.792,0.810
0.808,0.782,0.808
0.814,0.807,0.808
0.817,0.777,0.816
0.817,0.794,0.812
0.809,0.787,0.806
0.819,0.792,0.813
0.819,0.812,0.813
0.823,0.794,0.817
0.819,0.802,0.819
0.820,0.797,0.820
0.816,0.797,0.821
0.818,0.807,0.817
0.824,0.812,0.824
0.822,0.815,0.819
0.821,0.812,0.820
0.835,0.815,0.828
0.805,0.805,0.806
0.823,0.812,0.824
0.826,0.789,0.831
0.824,0.797,0.826
0.819,0.815,0.815
0.802,0.792,0.793
0.822,0.810,0.821
0.826,0.812,0.828
0.831,0.805,0.829
0.825,0.802,0.824
0.830,0.805,0.826
0.835,0.817,0.828
0.829,0.817,0.829
0.830,0.802,0.827
0.826,0.805,0.826
0.831,0.805,0.828
0.836,0.815,0.831
0.835,0.807,0.829
0.837,0.815,0.831
0.838,0.794,0.835
0.838,0.810,0.832
0.830,0.802,0.829
0.814,0.842,0.813
0.824,0.840,0.825
0.823,0.860,0.823
0.817,0.857,0.826
0.823,0.875,0.827
0.821,0.857,0.824
0.826,0.857,0.825
0.825,0.852,0.825
0.822,0.862,0.830
0.828,0.855,0.826
0.829,0.860,0.831
0.824,0.862,0.831
0.830,0.867,0.838
0.830,0.852,0.834
0.825,0.857,0.826
0.833,0.852,0.828
0.829,0.862,0.835
0.836,0.852,0.838
0.829,0.862,0.836
0.838,0.867,0.841
0.832,0.862,0.831
0.845,0.870,0.844
0.820,0.835,0.821
0.843,0.850,0.843
0.838,0.867,0.835
0.843,0.860,0.842
0.835,0.852,0.837
0.832,0.857,0.838
0.838,0.860,0.837
0.839,0.877,0.845
0.848,0.885,0.846
0.840,0.867,0.842
0.836,0.857,0.840
0.843,0.857,0.847
0.840,0.857,0.841
0.837,0.847,0.840
0.844,0.857,0.846
0.832,0.855,0.834
0.840,0.862,0.836
0.846,0.860,0.847
0.851,0.860,0.852
0.841,0.865,0.849
0.847,0.862,0.851
0.849,0.852,0.851
0.841,0.867,0.839
0.850,0.872,0.852
0.840,0.857,0.850
0.848,0.872,0.854
0.846,0.877,0.847
0.851,0.880,0.847
0.847,0.862,0.845
0.851,0.880,0.853
0.848,0.872,0.854
0.849,0.857,0.851
0.852,0.872,0.856
0.847,0.860,0.851
0.856,0.867,0.853
0.850,0.860,0.852
0.851,0.867,0.851
0.860,0.867,0.854
0.851,0.872,0.856
0.852,0.877,0.852
0.850,0.880,0.858
0.857,0.860,0.856
0.857,0.877,0.857
0.861,0.865,0.853
0.857,0.872,0.850
0.852,0.867,0.855
0.857,0.872,0.856
0.856,0.875,0.858
0.853,0.852,0.850
0.854,0.870,0.860
0.860,0.865,0.855
0.853,0.875,0.859
0.854,0.865,0.858
0.855,0.865,0.862
0.858,0.857,0.857
0.856,0.862,0.858
0.857,0.860,0.858
0.853,0.860,0.863
0.863,0.862,0.863
0.862,0.865,0.863
0.863,0.847,0.855
0.859,0.865,0.860
0.859,0.867,0.861
0.860,0.865,0.861
0.862,0.875,0.862
0.857,0.875,0.860
0.859,0.870,0.860
0.862,0.865,0.862
0.866,0.862,0.861
0.862,0.867,0.862
0.866,0.850,0.859
0.864,0.870,0.858
0.865,0.872,0.864
0.862,0.870,0.868
0.863,0.850,0.862
0.859,0.850,0.860
0.863,0.875,0.865
0.870,0.862,0.864
0.863,0.865,0.866
0.864,0.870,0.863
0.858,0.875,0.866
0.871,0.877,0.865
0.867,0.872,0.866
0.863,0.877,0.865
0.865,0.867,0.867
0.867,0.865,0.862
0.862,0.857,0.863
0.864,0.867,0.866
0.863,0.877,0.863
0.863,0.862,0.863
0.865,0.862,0.867
0.867,0.865,0.864
0.866,0.875,0.870
0.865,0.865,0.868
0.868,0.855,0.867
0.868,0.865,0.871
0.867,0.862,0.864
0.867,0.850,0.866
0.873,0.857,0.866
0.871,0.865,0.871
0.868,0.870,0.869
0.863,0.857,0.862
0.868,0.847,0.868
0.873,0.860,0.869
0.870,0.875,0.868
0.871,0.867,0.866
0.870,0.865,0.869
0.873,0.870,0.872
0.874,0.855,0.867
0.865,0.865,0.866
0.867,0.870,0.871
0.873,0.860,0.868
0.875,0.870,0.875
0.877,0.860,0.876
0.869,0.865,0.874
0.873,0.857,0.870
0.868,0.865,0.867
0.874,0.860,0.870
0.872,0.862,0.879
0.867,0.860,0.867
0.873,0.857,0.871
0.872,0.872,0.876
0.867,0.867,0.868
0.876,0.862,0.874
0.872,0.857,0.875
0.872,0.857,0.875
0.874,0.860,0.874
0.880,0.880,0.877
0.865,0.850,0.868
0.873,0.860,0.875
0.875,0.865,0.874
0.874,0.860,0.874
0.877,0.862,0.876
0.875,0.862,0.878
0.874,0.857,0.871
0.881,0.855,0.880
0.875,0.850,0.873
0.879,0.865,0.875
0.882,0.865,0.882
0.877,0.842,0.879
0.876,0.860,0.880
0.879,0.855,0.879
0.882,0.865,0.879
0.885,0.857,0.884
0.883,0.857,0.882
0.881,0.875,0.879
0.880,0.857,0.878
0.880,0.857,0.875
0.883,0.857,0.880
0.880,0.840,0.882
0.881,0.852,0.878
0.883,0.857,0.884
0.885,0.860,0.882
0.887,0.857,0.885
0.885,0.855,0.881
0.887,0.860,0.885
0.880,0.855,0.881
0.887,0.865,0.879
0.885,0.860,0.884
0.889,0.850,0.889
0.889,0.842,0.885
0.881,0.860,0.880
0.882,0.860,0.881
0.890,0.862,0.883
0.884,0.865,0.887
0.889,0.857,0.884
0.886,0.862,0.884
0.890,0.857,0.885
0.889,0.850,0.885
0.891,0.855,0.882
0.887,0.837,0.886
0.888,0.862,0.885
0.890,0.852,0.888
0.891,0.855,0.889
0.893,0.857,0.882
0.888,0.855,0.886
0.891,0.857,0.891
0.901,0.865,0.886
0.892,0.887,0.892
0.889,0.890,0.888
0.885,0.892,0.889
0.886,0.875,0.885
0.890,0.887,0.888
0.893,0.885,0.891
0.891,0.887,0.894
0.891,0.885,0.890
0.893,0.887,0.885
0.888,0.895,0.890
0.891,0.887,0.888
0.889,0.887,0.889
0.892,0.867,0.890
0.892,0.880,0.886
0.898,0.887,0.890
0.892,0.887,0.896
0.891,0.885,0.892
0.889,0.885,0.889
0.892,0.882,0.894
0.894,0.875,0.893
0.897,0.885,0.894
0.889,0.885,0.890
0.895,0.887,0.894
0.893,0.862,0.892
0.897,0.885,0.896
0.894,0.872,0.895
0.892,0.887,0.893
0.896,0.890,0.894
0.897,0.890,0.897
0.889,0.882,0.892
0.899,0.882,0.896
0.892,0.877,0.891
0.899,0.887,0.900
0.895,0.867,0.897
0.894,0.887,0.896
0.898,0.872,0.894
0.899,0.875,0.892
0.892,0.880,0.891
0.904,0.887,0.902
0.899,0.882,0.897
0.899,0.880,0.896
0.900,0.892,0.896
0.901,0.880,0.898
0.899,0.885,0.898
0.900,0.882,0.898
0.900,0.880,0.898
0.896,0.867,0.900
0.901,0.870,0.898
0.901,0.882,0.897
0.905,0.885,0.899
0.896,0.915,0.899
0.899,0.905,0.896
0.902,0.912,0.900
0.896,0.895,0.900
0.896,0.907,0.893
0.902,0.905,0.901
0.897,0.897,0.901
0.893,0.887,0.897
0.898,0.890,0.899
