Train,Valid,Test
0.568,0.544,0.567
0.588,0.596,0.595
0.638,0.637,0.625
0.581,0.589,0.592
0.685,0.657,0.684
0.734,0.744,0.738
0.735,0.744,0.733
0.700,0.734,0.696
0.671,0.694,0.665
0.698,0.694,0.695
0.733,0.754,0.741
0.700,0.714,0.706
0.741,0.747,0.741
0.752,0.777,0.757
0.761,0.777,0.760
0.737,0.744,0.741
0.752,0.774,0.747
0.734,0.749,0.740
0.743,0.767,0.745
0.746,0.764,0.746
0.728,0.754,0.722
0.766,0.782,0.763
0.770,0.789,0.769
0.755,0.764,0.757
0.764,0.784,0.768
0.766,0.774,0.762
0.754,0.782,0.756
0.766,0.784,0.764
0.770,0.789,0.775
0.781,0.805,0.781
0.784,0.779,0.785
0.785,0.805,0.784
0.769,0.782,0.766
0.795,0.799,0.791
0.802,0.815,0.799
0.781,0.807,0.790
0.790,0.792,0.791
0.787,0.805,0.787
0.808,0.815,0.808
0.815,0.822,0.814
0.814,0.840,0.815
0.810,0.830,0.815
0.806,0.810,0.809
0.831,0.837,0.833
0.816,0.825,0.815
0.796,0.792,0.800
0.828,0.847,0.834
0.827,0.832,0.825
0.825,0.825,0.826
0.813,0.812,0.811
0.814,0.812,0.815
0.820,0.810,0.819
0.796,0.799,0.793
0.836,0.830,0.834
0.836,0.822,0.831
0.838,0.822,0.840
0.820,0.810,0.816
0.836,0.817,0.840
0.824,0.832,0.824
0.823,0.822,0.819
0.819,0.802,0.816
0.834,0.820,0.829
0.842,0.832,0.848
0.839,0.842,0.834
0.837,0.825,0.838
0.861,0.852,0.858
0.843,0.842,0.839
0.847,0.837,0.847
0.862,0.852,0.863
0.857,0.862,0.855
0.856,0.850,0.859
0.872,0.872,0.872
0.850,0.850,0.852
0.871,0.857,0.871
0.818,0.812,0.820
0.737,0.732,0.735
0.861,0.852,0.862
0.874,0.867,0.875
0.872,0.870,0.867
0.878,0.860,0.879
0.730,0.732,0.735
0.891,0.872,0.887
0.898,0.880,0.893
0.893,0.872,0.890
0.893,0.885,0.891
0.894,0.882,0.891
0.889,0.877,0.885
0.898,0.860,0.898
0.892,0.867,0.890
0.865,0.855,0.866
0.899,0.882,0.899
0.850,0.847,0.846
0.899,0.875,0.893
0.905,0.877,0.904
0.905,0.890,0.904
0.900,0.885,0.898
0.889,0.875,0.886
0.889,0.872,0.889
0.906,0.890,0.903
0.885,0.870,0.885
0.883,0.885,0.881
0.894,0.880,0.890
0.907,0.907,0.903
0.910,0.900,0.911
0.912,0.900,0.910
0.913,0.915,0.915
0.890,0.895,0.888
0.887,0.892,0.884
0.892,0.890,0.889
0.916,0.917,0.916
0.909,0.912,0.907
